"Position","Title","Views","Date","Image","Duration","Link"
33,"1,000 Blind People See For The First Time","181M views","1 year ago","https://i.ytimg.com/vi/TJ2ifmkGGus/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDppgg-5xlyXuer9HrmUWbVO4WoA","8:01","https://www.youtube.com/watch?v=TJ2ifmkGGus"
34,"I Survived 50 Hours In Antarctica","198M views","1 year ago","https://i.ytimg.com/vi/7IKab3HcfFk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrehtMQ5ogwW2tAY6Z8BsTGgUZww","12:10","https://www.youtube.com/watch?v=7IKab3HcfFk"
35,"Hydraulic Press Vs Lamborghini","229M views","1 year ago","https://i.ytimg.com/vi/h5NvTTOlOtI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAc5hV2HHzcXuzju-uZFxVRVHrRNQ","10:25","https://www.youtube.com/watch?v=h5NvTTOlOtI"
36,"100 Kids Vs 100 Adults For $500,000","258M views","1 year ago","https://i.ytimg.com/vi/0CTp1a-aCUM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDGwO95PoEV4oKl8xxN8Nul7hGHA","15:23","https://www.youtube.com/watch?v=0CTp1a-aCUM"
37,"Last To Take Hand Off Jet, Keeps It!","175M views","1 year ago","https://i.ytimg.com/vi/kX3nB4PpJko/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVlOdJKdF2cegO732Qfrxt1vrtPA","15:37","https://www.youtube.com/watch?v=kX3nB4PpJko"
38,"$1 vs $1,000,000 Hotel Room!","351M views","1 year ago","https://i.ytimg.com/vi/iogcY_4xGjo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDURRfPNEqLUeKjZxaBGFGebgdgng","15:41","https://www.youtube.com/watch?v=iogcY_4xGjo"
39,"Survive 100 Days In Circle, Win $500,000","300M views","1 year ago","https://i.ytimg.com/vi/gHzuabZUd6c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAabOpRQVrT4V_dlzRFGhYROKLwzQ","17:10","https://www.youtube.com/watch?v=gHzuabZUd6c"
40,"I Hunted 100 People!","181M views","1 year ago","https://i.ytimg.com/vi/65fN_OUawjk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAooHUseRPj4SJy_SwoIct6E8AMKQ","12:03","https://www.youtube.com/watch?v=65fN_OUawjk"
41,"I Survived A Plane Crash","191M views","1 year ago","https://i.ytimg.com/vi/jdMNoQE3mIQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgTeOHKHji--krvVzZaaB8eg6e2Q","8:14","https://www.youtube.com/watch?v=jdMNoQE3mIQ"
42,"I Gave My 100,000,000th Subscriber An Island","211M views","1 year ago","https://i.ytimg.com/vi/2isYuQZMbdU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQkR38Az5DwwrW8k6YsdDqp53UBQ","15:31","https://www.youtube.com/watch?v=2isYuQZMbdU"
43,"100 Boys Vs 100 Girls For $500,000","210M views","1 year ago","https://i.ytimg.com/vi/tVWWp1PqDus/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDe9Kp3Eobp6Y2n2Gf16X0-bMKS8g","16:53","https://www.youtube.com/watch?v=tVWWp1PqDus"
44,"I Didn’t Eat Food For 30 Days","110M views","1 year ago","https://i.ytimg.com/vi/vaIgyRoUkQI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhMuXuGepZmn2DA9rLrfTx5o8erA","13:04","https://www.youtube.com/watch?v=vaIgyRoUkQI"
45,"I Built Willy Wonka's Chocolate Factory!","303M views","2 years ago","https://i.ytimg.com/vi/Hwybp38GnZw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNLLhklF1YAgSr0Qg9WlU_UDZR_g","16:11","https://www.youtube.com/watch?v=Hwybp38GnZw"
46,"$10,000 Every Day You Survive Prison","213M views","2 years ago","https://i.ytimg.com/vi/hD1YtmKXNb4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAALQc80f03WojJLN6P6Y0Ji22z0w","13:59","https://www.youtube.com/watch?v=hD1YtmKXNb4"
47,"Would You Swim With Sharks For $100,000?","188M views","2 years ago","https://i.ytimg.com/vi/LnlKwzc_TNA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuAigXoAwuafOwote5jxhsHzB_wg","9:01","https://www.youtube.com/watch?v=LnlKwzc_TNA"
48,"World’s Most Dangerous Escape Room!","262M views","2 years ago","https://i.ytimg.com/vi/3jS_yEK8qVI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAA8mrfAuAsyKxosWAefCxi_NSMrg","8:01","https://www.youtube.com/watch?v=3jS_yEK8qVI"
49,"Extreme $1,000,000 Hide And Seek","103M views","2 years ago","https://i.ytimg.com/vi/00NgUctWoLQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOXM0qbZJtvb3tR97jN1Bi9WQnGw","12:09","https://www.youtube.com/watch?v=00NgUctWoLQ"
50,"$1,000,000 Influencer Tournament!","90M views","2 years ago","https://i.ytimg.com/vi/x9TQ6culXIA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCImxqFRQEc7OOJsgWHC_apOgahCQ","12:05","https://www.youtube.com/watch?v=x9TQ6culXIA"
51,"I Got Hunted By The Military","220M views","2 years ago","https://i.ytimg.com/vi/QbJJwaVdgIs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsQRZfLTosNEPqj91ZOugOmtLzCA","10:27","https://www.youtube.com/watch?v=QbJJwaVdgIs"
52,"$456,000 Squid Game In Real Life!","621M views","2 years ago","https://i.ytimg.com/vi/0e3GPea1Tyg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD97HrPD21P7TSwUSpdGr2vz7i7cg","25:42","https://www.youtube.com/watch?v=0e3GPea1Tyg"
53,"I Cleaned The World’s Dirtiest Beach #TeamSeas","120M views","2 years ago","https://i.ytimg.com/vi/cV2gBU6hKfY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_xufE5ecm6lTKWvN08dGF0MvNZQ","4:55","https://www.youtube.com/watch?v=cV2gBU6hKfY"
54,"Last To Take Hand Off Lamborghini, Keeps It","176M views","2 years ago","https://i.ytimg.com/vi/qIsgdOVGA04/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJth3GXqKFDhgnaCAHUY2BM6L3Lg","15:08","https://www.youtube.com/watch?v=qIsgdOVGA04"
55,"First To Rob Bank Wins $100,000","186M views","2 years ago","https://i.ytimg.com/vi/cExLQ1o2pDw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmkWLIdC3LeYAyitzPqN0H0r6Vbg","8:02","https://www.youtube.com/watch?v=cExLQ1o2pDw"
56,"Extreme $500,000 Game Of Tag!","181M views","2 years ago","https://i.ytimg.com/vi/uocETPj4Jx4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5u0wyc-8fBLPvTM3hNc3fulX5rw","12:33","https://www.youtube.com/watch?v=uocETPj4Jx4"
57,"Last To Leave Circle Wins $500,000","446M views","2 years ago","https://i.ytimg.com/vi/zxYjTTXc-J8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkkmH70NLGxsslsKC6JLME7NBLrQ","17:44","https://www.youtube.com/watch?v=zxYjTTXc-J8"
58,"I Got Hunted By The FBI","213M views","2 years ago","https://i.ytimg.com/vi/hxwpkM5w3Cc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAlDd3DiPxhSJLE7lU7Dm5CLB_oQ","15:51","https://www.youtube.com/watch?v=hxwpkM5w3Cc"
59,"If You Can Carry $1,000,000 You Keep It!","204M views","2 years ago","https://i.ytimg.com/vi/ktyJIj6i4Qw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCifbXJIojkiVPCsYE8DRzY9xnJvg","10:45","https://www.youtube.com/watch?v=ktyJIj6i4Qw"
60,"Would YOU Quit School For $100,000?","169M views","2 years ago","https://i.ytimg.com/vi/urtFrxDUV6c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBA6z1JV7FZ7qLOChT4qG2wW6powg","10:12","https://www.youtube.com/watch?v=urtFrxDUV6c"
61,"I Survived 50 Hours In A Maximum Security Prison","248M views","2 years ago","https://i.ytimg.com/vi/nM89Wl03Q4g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9WIrGCwdI6am1QbaZeUfaXygVXQ","12:34","https://www.youtube.com/watch?v=nM89Wl03Q4g"
62,"Hit The Target, Win $300,000","186M views","3 years ago","https://i.ytimg.com/vi/NZlClr_ivb4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUchtvs9Prx09JbJCZEMKAlrhQDA","13:17","https://www.youtube.com/watch?v=NZlClr_ivb4"
63,"Anything You Can Fit In The Triangle I’ll Pay For","223M views","3 years ago","https://i.ytimg.com/vi/E6E22XQPhhg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4G7vzHqiFBBElGr4V2zBOwzubVw","16:08","https://www.youtube.com/watch?v=E6E22XQPhhg"
64,"I Got Hunted By A Real Bounty Hunter","203M views","3 years ago","https://i.ytimg.com/vi/TQHEJj68Jew/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDG2dQ5h-UfhfPyFUEq2fDHjLa83w","13:28","https://www.youtube.com/watch?v=TQHEJj68Jew"
65,"Extreme $100,000 Game of Tag!","223M views","3 years ago","https://i.ytimg.com/vi/WcwGleN38zE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYGFz9ePvZvaXO6P2bX9AmQyZrkQ","16:39","https://www.youtube.com/watch?v=WcwGleN38zE"
66,"Would You Sit In Snakes For $10,000?","315M views","3 years ago","https://i.ytimg.com/vi/fMfipiV_17o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBujzYnOJldxFmwAKq8WSzrcWhssQ","14:07","https://www.youtube.com/watch?v=fMfipiV_17o"
67,"I Bought The World's Largest Mystery Box! ($500,000)","243M views","3 years ago","https://i.ytimg.com/vi/ayXxwJJId_c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA56lYIjjPigqm8ed9H5iI1HZtkhw","10:50","https://www.youtube.com/watch?v=ayXxwJJId_c"
68,"I Spent 50 Hours Buried Alive","320M views","3 years ago","https://i.ytimg.com/vi/9bqk6ZUsKyA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbEKyFjdAcB_fPCJzbyU9NPjLmVw","12:40","https://www.youtube.com/watch?v=9bqk6ZUsKyA"
69,"Offering People $100,000 To Quit Their Job","145M views","3 years ago","https://i.ytimg.com/vi/DuQbOQwVaNE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0awHLNYMJUXKtqiYT09IeR0gFFA","10:27","https://www.youtube.com/watch?v=DuQbOQwVaNE"
70,"I Sold My House For $1","161M views","3 years ago","https://i.ytimg.com/vi/vJH28ICkCdU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtFV7LEKMHZ7cIZ-Xv39iPM6V0ag","9:20","https://www.youtube.com/watch?v=vJH28ICkCdU"
71,"I Donated $300,000 To People In Need","55M views","3 years ago","https://i.ytimg.com/vi/_uwNDiU04zE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_nzjb01oCEBZ2RYEDU-0ScBePsQ","10:54","https://www.youtube.com/watch?v=_uwNDiU04zE"
72,"I Ate $100,000 Golden Ice Cream","266M views","3 years ago","https://i.ytimg.com/vi/C680oxL__ck/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOfclpgtUklO_MKF2kmHLCUw3U3g","13:17","https://www.youtube.com/watch?v=C680oxL__ck"
73,"I Bought Everything In 5 Stores","175M views","3 years ago","https://i.ytimg.com/vi/5Fg9oZk-5uA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEe6yUOyYsQiH3MkCnfi3aIlkgbQ","13:50","https://www.youtube.com/watch?v=5Fg9oZk-5uA"
74,"Youtube Rewind 2020, Thank God It's Over","71M views","3 years ago","https://i.ytimg.com/vi/PKtnafFtfEo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDALdBC5fZoq_2YUb64qWzha2IjSg","6:31","https://www.youtube.com/watch?v=PKtnafFtfEo"
75,"I Put 1,000,000,000 Christmas Lights On A House (World Record)","116M views","3 years ago","https://i.ytimg.com/vi/f0c7pSCoZqE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXgU5NXn4h0D21vVLJEXZ7JfO6Bg","11:22","https://www.youtube.com/watch?v=f0c7pSCoZqE"
76,"I Opened A Restaurant That Pays You To Eat At It","186M views","3 years ago","https://i.ytimg.com/vi/dg2Ag3e8W-Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpUncbqP81jiSFpg9ChlTMdeq45Q","9:32","https://www.youtube.com/watch?v=dg2Ag3e8W-Q"
